index,x,y,theta,v_r,v_l
51,0.8599168062210083,-0.19488540291786194,-1.7803833484649658,3.895919574159964,1.017205004322417
52,0.8470624685287476,-0.27707165479660034,-2.0632827281951904,3.877063917095082,0.9693974299550273
53,0.8126298785209656,-0.35138505697250366,-2.362562656402588,3.80151824455017,1.1210559571839838
54,0.7580260634422302,-0.41170811653137207,-2.650932788848877,3.5688083131663255,1.3049726490989322
55,0.6875113248825073,-0.4537178575992584,-2.894113779067993,3.2623630588481505,1.5772442876757993
56,0.6092703938484192,-0.4764886498451233,-3.083850622177124,2.9230247081314498,1.813984066789812
57,0.5294646620750427,-0.4833800196647644,3.0753848552703857,2.7511746187417425,2.2370457359354194
58,0.44736236333847046,-0.4788057208061218,3.0103518962860107,2.46203496235083,2.1986793904626922
59,0.36713042855262756,-0.4687873423099518,2.9794163703918457,2.875607968161663,2.0105866641579864
60,0.28722503781318665,-0.4569384455680847,2.904554605484009,3.195915134446314,1.8081165231900878
61,0.20634794235229492,-0.4393419623374939,2.773103952407837,3.214513303704465,1.5510967615845563
62,0.13066346943378448,-0.41321706771850586,2.6066627502441406,3.6072616941937827,1.4668951575720663
63,0.05787723511457443,-0.37352466583251953,2.395968437194824,3.519351811321832,1.3965241495897374
64,-0.00470233429223299,-0.32070192694664,2.1741981506347656,3.338298268913207,1.4607292465930055
65,-0.053024329245090485,-0.2567008137702942,1.9747065305709839,3.114408592936003,1.5436749252916562
66,-0.08649255335330963,-0.18590708076953888,1.8058186769485474,3.12931193644041,1.9476504056127173
67,-0.10524503141641617,-0.11768452823162079,1.6960453987121582,2.8677622803089355,1.972095953945861
68,-0.11708897352218628,-0.03621068224310875,1.5974245071411133,2.691351779103064,2.0390047412923837
69,-0.12043585628271103,0.043930284678936005,1.5237677097320557,2.5515820393647006,2.4077078714524385
70,-0.11691081523895264,0.12657368183135986,1.4964783191680908,2.3333692423191454,2.3918162787502313
71,-0.11170083284378052,0.19662468135356903,1.497422218322754,2.0407923331269258,2.880256428468788
72,-0.10487943887710571,0.2792940139770508,1.5634106397628784,1.7952620197769757,3.0936315902469813
73,-0.10240551084280014,0.36320579051971436,1.6880706548690796,1.5703057194010075,3.1002616835647765
74,-0.10956963151693344,0.4443047046661377,1.8378828763961792,1.407392564356278,3.180210818007552
75,-0.12713655829429626,0.5200725197792053,2.013967514038086,1.5425143379036008,3.4883387291591603
76,-0.1595219522714615,0.5949499607086182,2.2100000381469727,1.527386476794845,3.3329619799556647
77,-0.20606772601604462,0.6624614000320435,2.3932623863220215,1.4625097756189436,3.589941452862988
